"Roanoke, VA",VA,328317.0
"Las Vegas, NM",NM,326500.0
"Lewiston, ME",ME,324933.0
"Burlington, NC",NC,324827.0
"Casper, WY",WY,324667.0
"La Grande, OR",OR,324500.0
"Columbia, MO",MO,323467.0
"Clarksville, TN",TN,323333.0
"Tallahassee, FL",FL,323300.0
"Fargo, ND",ND,321892.0
"Great Falls, MT",MT,321667.0
"Philadelphia, PA",PA,321633.0
"Cape Coral, FL",FL,321300.0
"Yuma, AZ",AZ,321283.0
"Bowling Green, KY",KY,319933.0
"Tulsa, OK",OK,319900.0
"Appleton, WI",WI,319900.0
"Starkville, MS",MS,319800.0
"Ocala, FL",FL,319633.0
"Mankato, MN",MN,319000.0
"Killeen, TX",TX,318719.0
"Columbus, NE",NE,318633.0
"Albany, NY",NY,318300.0
"Angola, IN",IN,318233.0
"Forest City, NC",NC,317667.0
"Staunton, VA",VA,317467.0
"Red Wing, MN",MN,317300.0
"Susanville, CA",CA,316633.0
"Wauchula, FL",FL,316633.0
"Lincoln, NE",NE,316300.0
"Des Moines, IA",IA,316000.0
"Blacksburg, VA",VA,314117.0
"New Orleans, LA",LA,313333.0
"Lynchburg, VA",VA,313100.0
"New Bern, NC",NC,313000.0
"Durant, OK",OK,312042.0
"Fairbanks, AK",AK,311742.0
"Farmington, NM",NM,311483.0
"Oklahoma City, OK",OK,310997.0
"Brownsville, TX",TX,310556.0
"McMinnville, TN",TN,310233.0
"Omaha, NE",NE,309983.0
"Bemidji, MN",MN,309983.0
"Kansas City, MO",MO,309967.0
"Warsaw, IN",IN,309967.0
"Williston, ND",ND,309633.0
"Lawrenceburg, TN",TN,309300.0
"Fort Payne, AL",AL,308750.0
"Homosassa Springs, FL",FL,308667.0
"Baraboo, WI",WI,308133.0
"Mount Vernon, OH",OH,308116.0
"Albemarle, NC",NC,308000.0
"Hot Springs, AR",AR,307850.0
"Greenwood, SC",SC,307700.0
"Iowa City, IA",IA,307650.0
"Statesboro, GA",GA,307000.0
"Albertville, AL",AL,306950.0
"Spartanburg, SC",SC,306533.0
"St. Marys, GA",GA,306383.0
"Lake City, FL",FL,305300.0
"Pierre, SD",SD,304667.0
"Winston, NC",NC,303650.0
"Newberry, SC",SC,303583.0
"St. Cloud, MN",MN,303217.0
"Athens, TN",TN,302893.0
"Greensboro, NC",NC,302816.0
"Moultrie, GA",GA,302300.0
"Columbus, IN",IN,301600.0
"Milwaukee, WI",WI,299967.0
"Waco, TX",TX,299900.0
"Jacksonville, NC",NC,299900.0
"Lake Havasu City, AZ",AZ,299780.0
"Indianapolis, IN",IN,299667.0
"Hagerstown, MD",MD,299600.0
"Springfield, MO",MO,298633.0
"Glens Falls, NY",NY,298333.0
"Murray, KY",KY,298300.0
"Elizabeth City, NC",NC,297933.0
"Butte, MT",MT,297500.0
"Silver City, NM",NM,297333.0
"Greeneville, TN",TN,297117.0
"Cincinnati, OH",OH,297000.0
"Yankton, SD",SD,295783.0
"Kendallville, IN",IN,295750.0
"Elizabethtown, KY",KY,295217.0
"Mitchell, SD",SD,294917.0
"Sierra Vista, AZ",AZ,294133.0
"Beaver Dam, WI",WI,292950.0
"Bay City, TX",TX,292871.0
"Warrensburg, MO",MO,292150.0
"Ludington, MI",MI,292100.0
"Chambersburg, PA",PA,291600.0
"Harrison, AR",AR,291267.0
"Price, UT",UT,290833.0
"Willmar, MN",MN,290800.0
"Dalton, GA",GA,290600.0
"Decatur, AL",AL,290359.0
"Cullman, AL",AL,290026.0
"Safford, AZ",AZ,290000.0
"El Paso, TX",TX,289950.0
"Bardstown, KY",KY,289950.0
"La Crosse, WI",WI,289933.0
